what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,2.2.0.dist,"org.eclipse.equinox.p2.core",1460739726472
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.dist,"org.eclipse.equinox.p2.directorywatcher",1460739726473
started,bundle,org.eclipse.equinox.p2.engine,2.2.0.dist,"org.eclipse.equinox.p2.engine",1460739726476
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.dist,"org.eclipse.equinox.p2.metadata",1460739726477
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.100.dist,"org.eclipse.equinox.p2.metadata.repository",1460739726478
started,bundle,org.eclipse.equinox.p2.operations,2.2.0.dist,"org.eclipse.equinox.p2.operations",1460739726479
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.200.dist,"org.eclipse.equinox.p2.reconciler.dropins",1460739726480
started,bundle,org.eclipse.equinox.p2.repository,2.2.0.dist,"org.eclipse.equinox.p2.repository",1460739726481
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.1.0.dist,"org.eclipse.equinox.p2.ui.sdk.scheduler",1460739726482
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.dist,"org.eclipse.equinox.p2.updatechecker",1460739726482
started,bundle,org.eclipse.equinox.preferences,3.5.0.dist,"org.eclipse.equinox.preferences",1460739726483
started,bundle,org.eclipse.equinox.registry,3.5.200.dist,"org.eclipse.equinox.registry",1460739726483
started,bundle,org.eclipse.equinox.security,1.1.100.dist,"org.eclipse.equinox.security",1460739726484
started,bundle,org.eclipse.equinox.util,1.0.400.dist,"org.eclipse.equinox.util",1460739726488
started,bundle,org.eclipse.help,3.6.0.dist,"org.eclipse.help",1460739726504
started,bundle,org.eclipse.jdt.core,3.8.2.dist,"org.eclipse.jdt.core",1460739726504
started,bundle,org.eclipse.jface,3.8.0.dist,"org.eclipse.jface",1460739726505
started,bundle,org.eclipse.ltk.core.refactoring,3.6.0.dist,"org.eclipse.ltk.core.refactoring",1460739726506
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.0.dist,"org.eclipse.ltk.ui.refactoring",1460739726520
started,bundle,org.eclipse.team.core,3.6.100.dist,"org.eclipse.team.core",1460739726521
started,bundle,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui",1460739726523
started,bundle,org.eclipse.ui.editors,3.8.0.dist,"org.eclipse.ui.editors",1460739726523
started,bundle,org.eclipse.ui.externaltools,3.2.100.dist,"org.eclipse.ui.externaltools",1460739726523
started,bundle,org.eclipse.ui.ide,3.8.1.dist,"org.eclipse.ui.ide",1460739726535
started,bundle,org.eclipse.ui.navigator,3.5.200.dist,"org.eclipse.ui.navigator",1460739726536
started,bundle,org.eclipse.ui.navigator.resources,3.4.400.dist,"org.eclipse.ui.navigator.resources",1460739726537
started,bundle,org.eclipse.ui.net,1.2.101.dist,"org.eclipse.ui.net",1460739726537
started,bundle,org.eclipse.ui.views,3.6.100.dist,"org.eclipse.ui.views",1460739726537
started,bundle,org.eclipse.ui.workbench,3.8.1.dist,"org.eclipse.ui.workbench",1460739726538
started,bundle,org.eclipse.ui.workbench.texteditor,3.8.0.dist,"org.eclipse.ui.workbench.texteditor",1460739726539
started,bundle,org.eclipse.update.configurator,3.3.200.dist,"org.eclipse.update.configurator",1460739726540
started,bundle,org.eclipse.update.core,3.2.600.dist,"org.eclipse.update.core",1460739726552
started,bundle,org.eclipse.update.scheduler,3.2.400.dist,"org.eclipse.update.scheduler",1460739726553
started,bundle,org.eclipse.jdt.apt.core,3.3.500.dist,"org.eclipse.jdt.apt.core",1460739726553
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.dist,"org.eclipse.jdt.apt.pluggable.core",1460739726553
started,bundle,org.eclipse.jdt.core.manipulation,1.5.0.dist,"org.eclipse.jdt.core.manipulation",1460739726554
started,bundle,org.eclipse.jdt.launching,3.6.100.dist,"org.eclipse.jdt.launching",1460739726555
started,bundle,org.eclipse.jdt.ui,3.8.1.dist,"org.eclipse.jdt.ui",1460739726555
started,bundle,org.eclipse.ui.trace,1.0.1.dist,"org.eclipse.ui.trace",1460739726556
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1460739726557
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1460739726558
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1460739726560
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1460739726560
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1460739726561
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1460739726562
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1460739726563
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1460739726563
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1460739726609
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1460739726610
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1460739726611
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1460739726611
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1460739726612
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1460739726638
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1460739726639
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1460739726639
